DateTime,Positive_reviews,Negative_reviews,Source
2023-08-12,0,0,WDL
2023-08-13,3,1,WDL
2023-08-14,5,6,WDL
2023-08-15,10,4,WDL
2023-08-16,0,0,WDL
2023-08-17,4,8,WDL
2023-08-18,4,0,WDL
2023-08-19,2,2,WDL
2023-08-20,0,0,WDL
2023-08-21,10,6,WDL
2023-08-22,1,4,WDL
2023-08-23,0,0,WDL
2023-08-24,0,0,WDL
2023-08-25,3,11,WDL
2023-08-26,4,3,WDL
2023-08-27,4,8,WDL
2023-08-28,0,0,WDL
2023-08-29,0,0,WDL
2023-08-30,8,7,WDL
2023-08-31,5,2,WDL
2023-09-01,0,0,WDL
2023-09-02,0,0,WDL
2023-09-03,11,1,WDL
2023-09-04,8,0,WDL
2023-09-05,2,4,WDL
2023-09-06,0,0,WDL
2023-09-07,5,7,WDL
2023-09-08,1,4,WDL
2023-09-09,6,5,WDL
2023-09-10,0,0,WDL
2023-09-11,3,2,WDL
2023-09-12,7,5,WDL
2023-09-13,11,13,WDL
2023-09-14,0,0,WDL
2023-09-15,12,8,WDL
2023-09-16,15,9,WDL
2023-09-17,15,11,WDL
2023-09-18,0,0,WDL
2023-09-19,18,11,WDL
2023-09-20,8,11,WDL
2023-09-21,7,9,WDL
2023-09-22,0,0,WDL
2023-09-23,2,8,WDL
2023-09-24,5,9,WDL
2023-09-25,7,1,WDL
2023-09-26,0,0,WDL
2023-09-27,3,7,WDL
2023-09-28,6,4,WDL
2023-09-29,0,0,WDL
2023-09-30,0,0,WDL
2023-10-01,8,10,WDL
2023-10-02,5,4,WDL
2023-10-03,0,0,WDL
2023-10-04,0,0,WDL
2023-10-05,9,7,WDL
2023-10-06,5,3,WDL
2023-10-07,0,0,WDL
2023-10-08,0,0,WDL
2023-10-09,19,8,WDL
2023-10-10,4,6,WDL
2023-10-11,4,2,WDL
2023-10-12,0,0,WDL
2023-10-13,6,0,WDL
2023-10-14,1,5,WDL
2023-10-15,0,0,WDL
2023-10-16,2,7,WDL
2023-10-17,3,1,WDL
2023-10-18,0,2,WDL
2023-10-19,0,0,WDL
2023-10-20,3,1,WDL
2023-10-21,5,0,WDL
2023-10-22,4,4,WDL
2023-10-23,0,0,WDL
2023-10-24,4,2,WDL
2023-10-25,0,1,WDL
2023-10-26,2,0,WDL
2023-10-27,8,5,WDL
2023-10-28,0,0,WDL
2023-10-29,2,4,WDL
2023-10-30,1,3,WDL
2023-10-31,5,0,WDL
2023-11-01,0,0,WDL
2023-11-02,4,2,WDL
2023-11-03,1,4,WDL
2023-11-04,1,4,WDL
2023-11-05,0,0,WDL
2023-11-06,2,4,WDL
2023-11-07,1,2,WDL
2023-11-08,0,0,WDL
2023-11-09,3,5,WDL
2023-11-10,8,4,WDL
2023-11-11,22,15,WDL
2023-11-12,0,0,WDL
2023-11-13,31,23,WDL
2023-11-14,21,20,WDL
2023-11-15,0,0,WDL
2023-11-16,29,28,WDL
2023-11-17,32,24,WDL
2023-11-18,0,0,WDL
2023-11-19,18,28,WDL
2023-11-20,20,15,WDL
2023-11-21,0,0,WDL
2023-11-22,236,31,WDL
2023-11-23,0,0,WDL
2023-11-24,215,38,WDL
2023-11-25,102,21,WDL
2023-11-26,0,0,WDL
2023-11-27,110,27,WDL
